ADC Measurements,Light Intensity (lux)
0.0,12.1
455.0,19.6
910.0,38.6
1365.0,24.7
1820.0,26.4
2275.0,43.1
2730.0,72.6
3185.0,94.2
3640.0,122.2
4095.0,182.6
